STATIONID,Taxa ID,Count
20210112-1120-tdaley,Isoperla,1
20210112-1120-tdaley,Diplectrona,3
20210112-1120-tdaley,Rhyacophila,5
20210112-1120-tdaley,Polycentropus,12
20210112-1120-tdaley,Habrophlebia,4
20210112-1120-tdaley,Prosimulium,16
20210112-1120-tdaley,Pseudolimnophila,2
20210112-1120-tdaley,Dicranota,4
20210112-1120-tdaley,Gomphidae,1
20210112-1120-tdaley,Ceratopogon,1
20210112-1120-tdaley,Oulimnius,10
20210112-1120-tdaley,Eurylophella,1
20210112-1120-tdaley,Paracapnia,1
20210112-1120-tdaley,Haploperla,1
20210112-1120-tdaley,Optioservus,6
20210112-1120-tdaley,Wormaldia,1
20210112-1120-tdaley,Maccaffertium,6
20210112-1120-tdaley,Stegopterna,3
20210112-1120-tdaley,Hexatoma,2
20210112-1120-tdaley,Chironomidae,33
20210112-1120-tdaley,Peltoperla,2
20210112-1120-tdaley,Leuctra,63
20210112-1120-tdaley,Cambarus,1
20210112-1120-tdaley,Sialis,1
20210112-1120-tdaley,Clitellata,3
20210112-1120-tdaley,Promoresia,2
20210112-1120-tdaley,Hydropsyche,2
20210112-1120-tdaley,Amphinemura,1
20210112-1120-tdaley,Hydroptila,1
20210112-1120-tdaley,Taeniopteryx,2
20210112-1130-jeremmille,Diplectrona,2
20210112-1130-jeremmille,Haploperla,1
20210112-1130-jeremmille,Cheumatopsyche,20
20210112-1130-jeremmille,Oulimnius,1
20210112-1130-jeremmille,Antocha,1
20210112-1130-jeremmille,Rhyacophila,1
20210112-1130-jeremmille,Taeniopteryx,1
20210112-1130-jeremmille,Chironomidae,14
20210112-1130-jeremmille,Isoperla,6
20210112-1130-jeremmille,Clitellata,4
20210112-1130-jeremmille,Oemopteryx,1
20210112-1130-jeremmille,Ephemerella,86
20210112-1130-jeremmille,Prostoia,7
20210112-1130-jeremmille,Hydropsyche,27
20210112-1130-jeremmille,Maccaffertium,3
20210112-1130-jeremmille,Cernotina,1
20210112-1130-jeremmille,Baetis,1
20210112-1130-jeremmille,Chimarra,15
20210112-1130-jeremmille,Dicranota,2
20210112-1130-jeremmille,Gammarus,1
20210112-1215-jeremmille,Maccaffertium,2
20210112-1215-jeremmille,Teloganopsis,6
20210112-1215-jeremmille,Isoperla,7
20210112-1215-jeremmille,Hydropsyche,8
20210112-1215-jeremmille,Tipula,1
20210112-1215-jeremmille,Chironomidae,9
20210112-1215-jeremmille,Attenella,2
20210112-1215-jeremmille,Oemopteryx/Taenionema,1
20210112-1215-jeremmille,Prosimulium,7
20210112-1215-jeremmille,Baetis,2
20210112-1215-jeremmille,Optioservus,7
20210112-1215-jeremmille,Dicranota,1
20210112-1215-jeremmille,Diplectrona,2
20210112-1215-jeremmille,Nixe,1
20210112-1215-jeremmille,Cheumatopsyche,7
20210112-1215-jeremmille,Stegopterna,1
20210112-1215-jeremmille,Dolophilodes,3
20210112-1215-jeremmille,Cinygmula,2
20210112-1215-jeremmille,Clitellata,3
20210112-1215-jeremmille,Prostoia,6
20210112-1215-jeremmille,Acroneuria,6
20210112-1215-jeremmille,Rhyacophila,1
20210112-1215-jeremmille,Antocha,1
20210112-1215-jeremmille,Epeorus,3
20210112-1215-jeremmille,Ephemerella,114
20210112-1215-jeremmille,Ancyronyx,3
20210112-1215-jeremmille,Cernotina,1
20210112-1240-tdaley,Pycnopsyche,2
20210112-1240-tdaley,Lepidostoma,1
20210112-1240-tdaley,Molophilus,3
20210112-1240-tdaley,Hexatoma,1
20210112-1240-tdaley,Rhyacophila,16
20210112-1240-tdaley,Leuctra,43
20210112-1240-tdaley,Clitellata,5
20210112-1240-tdaley,Dicranota,1
20210112-1240-tdaley,Prosimulium,13
20210112-1240-tdaley,Amphinemura,14
20210112-1240-tdaley,Stegopterna,1
20210112-1240-tdaley,Stygobromus,1
20210112-1240-tdaley,Peltoperla,16
20210112-1240-tdaley,Paracapnia,16
20210112-1240-tdaley,Wormaldia,3
20210112-1240-tdaley,Neoplasta,1
20210112-1240-tdaley,Isoperla,1
