STATIONID,STREAM_NAME,LAT,LONG,HUC8,HUC8NAME,HUC10,HUC12,HUC_12_Name,COUNTY,YEAR,MONTH,DAY,METHOD,METHOD_DES,SmallFrees,LargeFrees,Richness,richEPT,richEPTptv,richTcadd,richEmay,PTVbeck3,PTVbeck4,HILSindex,SHANdivers,PTVpct03,PTVpct710,INST_COVER,EPI_SUB,EMBEDDED,VELO_DEPTH,CHAN_ALT,SED_DEP,FREQ_RIFF,CHAN_FLOW,COND_BANKS,BANK_VEG,GRAZING,RIP_VEG_ZO,HAB_TOTAL,AREAsqmi,Standardization,Regular_IBI,SPEAR_IBI,IBI_Adjusted_Abundance_,R_IBI_Total_Taxa_Richness,R_IBI_EPT_Taxa_Richness,R_IBI_Beck's_Index,R_IBI_Hilsenhoff_Biotic_Index,R_IBI_Shannon_Diversity_Index,R_IBI_Percent_Sensitive_Individuals,R_IBI_Total_Individuals_Sampled,S_IBI_Total_Taxa_Richness,S_IBI_EPT_Taxa_Richness,S_IBI_Beck's_Index,S_IBI_Hilsenhoff_Biotic_Index,S_IBI_Shannon_Diversity_Index,S_IBI_Percent_Sensitive_Individuals,S_IBI_Total_Individuals_Sampled,A_IBI_Total_Taxa_Richness,A_IBI_EPT_Taxa_Richness,A_IBI_Beck's_Index,A_IBI_Hilsenhoff_Biotic_Index,A_IBI_Shannon_Diversity_Index,A_IBI_Percent_Sensitive_Individuals,A_IBI_Total_Individuals_Sampled,LC_Sites,Urban,Forested,Agriculture,OpenWaterWetland_,NA
20210112-1120-tdaley,Mill_Creek,40.77745856,-76.16629344,02040203,Schuylkill,0204020302,020402030201,Eisenhuth_Reservoir-Mill_Creek,Schuylkill,2021,1,12,Freestone,"6-Dframe_Composite,_200_subsample",77.2508,NA,30,16,13,6,3,23,26,2.84,2.46,58.6,1.6,16,15,14,12,20,7,18,17,19,20,20,19,197,0.9,<25_standardizations,77.27915592,71.09750276,66.43047051,30,13,23,2.842931937,2.464564934,58.63874346,191,24,11,18,0.868421053,2.268491639,47.89473684,190,24,12,18,3.263157895,2.268491639,44.73684211,190,20210112-1120-tdaley_Watershed_,0.891472868,99.10852713,0,0,NA
20210112-1240-tdaley,Unnamed__Tributary_to_Mill_Creek,40.77405183,-76.17435868,02040203,Schuylkill,0204020302,020402030201,Eisenhuth_Reservoir-Mill_Creek,Schuylkill,2021,1,12,Freestone,"6-Dframe_Composite,_200_subsample",74.9288,NA,25,14,13,6,2,19,26,2.75,2.49,66.7,2.5,13,9,13,10,15,6,15,18,19,17,15,15,165,0.4,<25_standardizations,74.91674268,70.44305216,66.57661553,25,13,19,2.747474747,2.488183385,66.66666667,198,20,11,15,1.015228426,2.391316179,59.39086294,197,20,12,16,2.903553299,2.391316179,52.79187817,197,20210112-1240-tdaley_Watershed_,0,99.90539262,0,0.094607379,NA
20210112-1245-jeremmille,Unnamed__Tributary_to_Seidel_Creek,40.25210129,-75.87442449,02040203,Schuylkill,0204020306,020402030609,Angelica_Creek-Schuylkill_River,Berks,2021,1,12,Freestone,"6-Dframe_Composite,_200_subsample",79.6318,NA,25,16,14,4,4,25,27,2,1.96,80.6,0.5,9,15,2,15,15,5,16,15,5,11,11,11,130,1.5,<25_standardizations,79.62385638,57.90155658,67.62225187,25,14,25,1.995145631,1.957510923,80.58252427,206,20,8,15,0.072815534,1.85924855,15.04854369,206,20,12,16,2.854368932,1.85924855,73.30097087,206,20210112-1245-jeremmille_Waters,28.87082977,55.02566297,15.71856287,0.384944397,NA
20210112-1315-jeremmille,Seidel_Creek,40.26136412,-75.87946028,02040203,Schuylkill,0204020306,020402030609,Angelica_Creek-Schuylkill_River,Berks,2021,1,12,Freestone,"6-Dframe_Composite,_200_subsample",68.1518,NA,24,15,12,5,4,14,22,3.39,2.63,53,0,10,16,7,15,15,10,15,14,10,12,13,13,150,0.5,<25_standardizations,68.16405623,63.79644039,58.63382186,24,12,14,3.385,2.630319212,53,200,19,9,15,0.95,2.491780154,33.5,200,19,11,11,3.99,2.491780154,39,200,20210112-1315-jeremmille_Waters,24.93261456,60.2425876,14.82479784,0,NA
20210112-1345-jeremmille,Seidel_Creek,40.28225643,-75.86504818,02040203,Schuylkill,0204020306,020402030609,Angelica_Creek-Schuylkill_River,Berks,2021,1,12,Freestone,"6-Dframe_Composite,_200_subsample",55.4416,NA,22,12,9,5,1,14,20,4.42,2.29,27.8,1.4,15,16,14,14,15,15,16,16,15,15,11,10,172,3.2,<25_standardizations,55.44353568,58.12194828,48.82662984,22,9,14,4.424528302,2.290882218,27.83018868,212,18,9,15,1.014150943,2.234322519,15.56603774,212,18,9,9,4.754716981,2.234322519,20.75471698,212,20210112-1345-jeremmille_Waters,22.508433,63.27302463,13.69722989,0.521312481,NA
20210112-1415-jeremmille,Allegheny_Creek,40.28658491,-75.87506279,02040203,Schuylkill,0204020306,020402030606,Green_Hills_Lake-Allegheny_Creek,Berks,2021,1,12,Freestone,"6-Dframe_Composite,_200_subsample",62.3411,NA,26,13,11,5,4,11,21,4.17,2.71,35.3,3.7,16,16,13,16,14,12,16,16,13,13,13,10,168,16.9,<25_standardizations,62.34672574,55.711044,51.94485024,26,11,11,4.171122995,2.711550872,35.29411765,187,18,6,9,0.652173913,2.497550108,18.47826087,184,18,9,4,4.315217391,2.497550108,35.32608696,184,20210112-1415-jeremmille_Waters,18.26584758,64.02936534,16.66254588,1.042241199,NA
20210113-0900-jeremmille,Allegheny_Creek,40.26628815,-75.89647566,2040203,Schuylkill,0204020306,020402030606,Green_Hills_Lake-Allegheny_Creek,Berks,2021,1,13,Freestone,"6-Dframe_Composite,_200_subsample",44.155,NA,14,8,6,3,4,5,9,4.5,1.96,35,0,13,13,10,16,13,14,14,16,14,15,16,10,164,13.6,<25_standardizations,44.1447451,34.99609192,34.30308979,14,6,5,4.495145631,1.958166211,34.95145631,206,10,2,3,2.014563107,1.762887569,0.970873786,206,10,5,2,5.189320388,1.762887569,19.41747573,206,20210113-0900-jeremmille_Waters,19.19214461,60.75875921,18.90872573,1.140370453,NA
20210113-1030-jeremmille,Allegheny_Creek,40.24858285,-75.91298122,02040203,Schuylkill,0204020306,020402030606,Green_Hills_Lake-Allegheny_Creek,Berks,2021,1,13,Freestone,"6-Dframe_Composite,_200_subsample",40.4411,NA,20,9,6,5,3,11,14,5.55,1.73,5.2,3.6,16,16,11,16,16,14,16,15,15,16,12,10,173,8.8,<25_standardizations,40.43184416,36.45087871,33.10984053,20,6,11,5.554404145,1.730605783,5.18134715,193,14,4,3,2.539267016,1.423222916,4.712041885,191,14,6,4,5.607329843,1.608702045,3.141361257,191,20210113-1030-jeremmille_Waters,19.79177028,55.93355217,23.2633708,1.011306741,NA
20210113-1130-tdaley,Koenigs_Creek,40.68686894,-75.96512456,02040203,Schuylkill,0204020301,020402030103,Lower_Little_Schuylkill_River,Schuylkill,2021,1,13,Freestone,"6-Dframe_Composite,_200_subsample",59.2565,NA,24,12,10,6,4,21,22,4.73,2.43,21.1,5.3,16,15,15,16,15,12,17,19,13,16,15,15,184,2.7,<25_standardizations,59.23127995,48.87356265,49.95265468,24,10,21,4.727272727,2.42631476,21.05263158,209,17,5,6,1.105769231,2.165794954,12.01923077,208,17,9,14,4.918269231,2.165794954,21.63461538,208,20210113-1130-tdaley_Watershed_,19.42107035,58.70077415,21.03668798,0.841467519,NA
20210113-1200-jeremmille,Sleepy_Hollow_Run,40.22676762,-75.93417063,02040203,Schuylkill,0204020306,020402030606,Green_Hills_Lake-Allegheny_Creek,Berks,2021,1,13,Freestone,"6-Dframe_Composite,_200_subsample",52.1901,NA,19,8,6,5,1,15,15,4.17,1.83,41.1,4.2,15,16,10,16,15,13,16,15,11,16,16,15,174,1.2,<25_standardizations,52.19454065,41.78824176,39.97071229,19,6,15,4.173684211,1.833681191,41.05263158,190,16,4,6,2,1.784606668,3.684210526,190,16,6,10,5.4,1.784606668,12.10526316,190,20210113-1200-jeremmille_Waters,13.28828829,79.07657658,0.495495495,0.315315315,NA
20210113-1225-tdaley,Koenigs_Creek,40.68894417,-75.94214815,02040203,Schuylkill,0204020301,020402030103,Lower_Little_Schuylkill_River,Schuylkill,2021,1,13,Freestone,"6-Dframe_Composite,_200_subsample",52.8385,NA,18,10,8,2,6,7,13,3.88,1.78,54.3,1.4,16,14,15,16,16,11,17,18,14,18,15,15,185,2.7,<25_standardizations,42.46157822,38.19606463,34.26453782,18,8,7,3.884615385,0,54.32692308,208,11,3,6,1.480582524,1.594990929,2.912621359,206,11,5,2,5.257281553,1.594990929,22.33009709,206,20210113-1225-tdaley_Watershed_,14.2974753,58.47969265,25.8507135,1.372118551,NA
20210113-1345-tdaley,Unnamed__Tributary_to_Little_Schuylkill_River,40.70697082,-76.00085952,02040203,Schuylkill,0204020301,020402030102,Upper_Little_Schuylkill_River,Schuylkill,2021,1,13,Freestone,"6-Dframe_Composite,_200_subsample",94.5295,NA,29,22,19,7,7,40,35,2.09,2.66,75,1.4,18,15,15,16,16,13,19,18,19,18,17,16,200,1,<25_standardizations,79.89662358,73.78344064,81.53926437,29,19,40,2.094339623,0,75,212,28,13,21,0.872641509,2.632276942,25,212,28,17,27,2.938679245,2.632276942,54.71698113,212,20210113-1345-tdaley_Watershed_,0,100,0,0,NA
20210120-1315-tdaley,Mahannon_Creek,40.64189237,-76.10613811,02040203,Schuylkill,0204020302,020402030207,Mahannon_Creek-Schuylkill_River,Schuylkill,2021,1,20,Freestone,"6-Dframe_Composite,_200_subsample",56.2691,NA,25,13,10,4,6,15,20,4.82,2.05,28.9,6.1,14,14,15,16,14,10,15,15,14,14,13,12,166,6.7,<25_standardizations,44.3245404,45.53331011,41.61643223,25,10,15,4.822335025,0,28.93401015,197,19,5,6,2.153846154,1.952686417,7.179487179,195,19,7,10,5.717948718,1.952686417,6.666666667,195,20210120-1315-tdaley_Watershed_,19.92601417,60.0852718,18.99178632,0.996927707,NA
20210120-1405-tdaley,Mahannon_Creek,40.64394105,-76.10604914,02040203,Schuylkill,0204020302,020402030207,Mahannon_Creek-Schuylkill_River,Schuylkill,2021,1,20,Freestone,"6-Dframe_Composite,_200_subsample",79.4926,NA,33,19,15,6,7,27,31,3.85,2.9,43.2,4,16,17,15,16,15,11,18,15,16,16,15,15,185,6.7,<25_standardizations,63.19932657,62.98576733,57.21188669,33,15,27,3.849246231,0.063236571,43.2160804,199,22,10,15,1.325301205,2.59666138,18.07228916,166,22,11,14,4.753012048,2.59666138,22.28915663,166,20210120-1405-tdaley_Watershed_,10.86016033,60.19849854,18.97824151,9.963099631,NA
20210125-1215-jeremmille,Stony_Creek,40.57577613,-76.06924875,02040203,Schuylkill,0204020302,020402030207,Mahannon_Creek-Schuylkill_River,Berks,2021,1,25,Freestone,"6-Dframe_Composite,_200_subsample",92.3136,NA,26,19,16,5,7,38,34,1.9,2.89,76.9,0,19,20,18,18,19,19,19,20,16,18,20,20,226,3.7,<25_standardizations,75.65045805,65.10406553,70.99411064,26,16,38,1.900452489,0,76.92307692,221,20,9,15,0.248868778,2.719713366,23.52941176,221,20,13,20,2.936651584,2.719713366,52.48868778,221,20210125-1215-jeremmille_Waters,0,100,0,0,NA
20210224-1045-tdaley,Raccoon_Creek,40.9370329,-76.16278538,02050107,Upper_Susquehanna-Lackawanna,0205010708,020501070802,Tomicken_Creek,Schuylkill,2021,2,24,Freestone,"6-Dframe_Composite,_200_subsample",71.2965,NA,21,16,11,4,6,24,21,2.73,1.84,75.3,0,15,16,16,14,20,12,18,14,13,17,15,15,185,2.4,<25_standardizations,71.25364033,56.56993574,51.41078015,21,11,24,2.732323232,1.835057041,75.25252525,198,19,9,15,0.833333333,1.797406941,16.16161616,198,19,11,14,4.808080808,1.797406941,24.74747475,198,20210224-1045-tdaley_Watershed_,16.5883143,78.13969107,5.255204835,0.016789792,NA
20210224-1245-jlorson,Lewis_Creek,41.38788532,-75.82390706,02050106,Upper_Susquehanna-Tunkhannock,0205010614,020501061409,Obendoffers_Creek-Susquehanna_River,Luzerne,2021,2,24,Freestone,"6-Dframe_Composite,_200_subsample",35.2533,NA,11,3,3,1,1,7,8,5.16,1.69,21.3,15.5,16,16,13,19,19,12,18,19,16,19,18,12,197,1.4,<25_standardizations,24.83296394,31.98686974,31.26610701,10,3,7,5.188405797,0,21.25603865,207,8,1,3,2.342995169,1.539188158,5.314009662,207,8,3,5,5.31884058,1.539188158,19.3236715,207,20210224-1245-jlorson_Watershed,9.567147614,73.54051054,12.47502775,4.417314095,NA
