STATIONID,STREAM_NAME,LAT,LONG,YEAR,MONTH,DAY,AREAsqmi,Regular_IBI,SPEAR_IBI,IBI_Adjusted_Abundance_,SIBI-AIBI,SIBI-RIBI,S_IBI_Total_Taxa_Richness,S_IBI_EPT_Taxa_Richness,S_IBI_Beck's_Index,S_IBI_Hilsenhoff_Biotic_Index,S_IBI_Shannon_Diversity_Index,S_IBI_Percent_Sensitive_Individuals,S_IBI_Total_Individuals_Sampled,A_IBI_Total_Taxa_Richness,A_IBI_EPT_Taxa_Richness,A_IBI_Beck's_Index,A_IBI_Hilsenhoff_Biotic_Index,A_IBI_Shannon_Diversity_Index,A_IBI_Percent_Sensitive_Individuals,A_IBI_Total_Individuals_Sampled,Impaired-0_Attaining-1,Urban,Forested,Agriculture,OpenWaterWetland_,INST_COVER,EPI_SUB,R_IBI_Total_Taxa_Richness,R_IBI_EPT_Taxa_Richness,R_IBI_Beck's_Index,R_IBI_Hilsenhoff_Biotic_Index,R_IBI_Shannon_Diversity_Index,R_IBI_Percent_Sensitive_Individuals,R_IBI_Total_Individuals_Sampled,EMBEDDED,VELO_DEPTH,CHAN_ALT,SED_DEP,FREQ_RIFF,CHAN_FLOW,COND_BANKS,BANK_VEG,GRAZING,RIP_VEG_ZO,HAB_TOTAL,DESIGNATED_USE,IBI_Impairment_Threshold,Impaired-0_Attaining-1
20210112-1120-tdaley,Mill_Creek,40.77745856,-76.16629344,2021,1,12,0.9,77.27915592,67.16149133,66.30067624,0.860815095,-10.11766459,24,11,20,3.210526316,2.268491639,47.89473684,190,24,12,18,3.326315789,2.268491639,44.73684211,190,1,0.891472868,99.10852713,0,0,16,15,30,13,23,2.842931937,2.464564934,58.63874346,191,14,12,20,7,18,17,19,20,20,19,197,CWF,50,1
20210112-1240-tdaley,Unnamed__Tributary_to_Mill_Creek,40.77405183,-76.17435868,2021,1,12,0.4,74.91674268,68.12809658,65.57515716,2.55293942,-6.788646104,20,11,17,2.568527919,2.391316179,59.39086294,197,20,12,16,3.390862944,2.391316179,52.79187817,197,1,0,99.90539262,0,0.094607379,13,9,25,13,19,2.747474747,2.488183385,66.66666667,198,13,10,15,6,15,18,19,17,15,15,165,CWF,50,1
20210112-1245-jeremmille,Unnamed__Tributary_to_Seidel_Creek,40.25210129,-75.87442449,2021,1,12,1.5,79.62385638,49.46107471,67.62225187,-18.16117716,-30.16278167,20,8,17,4.606796117,1.85924855,15.04854369,206,20,12,16,2.854368932,1.85924855,73.30097087,206,1,28.87082977,55.02566297,15.71856287,0.384944397,9,15,25,14,25,1.995145631,1.957510923,80.58252427,206,2,15,15,5,16,15,5,11,11,11,130,WWF,50,1
20210112-1315-jeremmille,Seidel_Creek,40.26136412,-75.87946028,2021,1,12,0.5,68.16405623,59.02595993,58.63382186,0.392138073,-9.138096297,19,10,17,4.125,2.491780154,33.5,200,19,11,11,3.99,2.491780154,39,200,1,24.93261456,60.2425876,14.82479784,0,10,16,24,12,14,3.385,2.630319212,53,200,7,15,15,10,15,14,10,12,13,13,150,WWF,50,1
20210112-1345-jeremmille,Seidel_Creek,40.28225643,-75.86504818,2021,1,12,3.2,55.44353568,49.94517419,48.82662984,1.118544354,-5.498361486,18,9,17,5.419811321,2.234322519,15.56603774,212,18,9,9,4.754716981,2.234322519,20.75471698,212,1,22.508433,63.27302463,13.69722989,0.521312481,15,16,22,9,14,4.424528302,2.290882218,27.83018868,212,14,14,15,15,16,16,15,15,11,10,172,WWF,50,1
20210112-1415-jeremmille,Allegheny_Creek,40.28658491,-75.87506279,2021,1,12,16.9,62.34672574,47.23987479,51.94485024,-4.704975447,-15.10685095,18,6,11,5.201086957,2.497550108,18.47826087,184,18,9,4,4.315217391,2.497550108,35.32608696,184,1,18.26584758,64.02936534,16.66254588,1.042241199,16,16,26,11,11,4.171122995,2.711550872,35.29411765,187,13,16,14,12,16,16,13,13,13,10,168,CWF,50,1
20210113-0900-jeremmille,Allegheny_Creek,40.26628815,-75.89647566,2021,1,13,13.6,44.1447451,28.01282383,34.30308979,-6.290265958,-16.13192127,10,2,3,5.412621359,1.762887569,0.970873786,206,10,5,2,5.189320388,1.762887569,19.41747573,206,0,19.19214461,60.75875921,18.90872573,1.140370453,13,13,14,6,5,4.495145631,1.958166211,34.95145631,206,10,16,13,14,14,16,14,15,16,10,164,CWF,50,0
20210113-1030-jeremmille,Allegheny_Creek,40.24858285,-75.91298122,2021,1,13,8.8,40.43184416,31.21589746,33.10984053,-1.893943072,-9.215946702,14,4,3,5.612565445,1.608702045,4.712041885,191,14,6,4,5.607329843,1.608702045,3.141361257,191,0,19.79177028,55.93355217,23.2633708,1.011306741,16,16,20,6,11,5.554404145,1.730605783,5.18134715,193,11,16,16,14,16,15,15,16,12,10,173,CWF,50,0
20210113-1130-tdaley,Koenigs_Creek,40.68686894,-75.96512456,2021,1,13,2.7,59.23127995,39.655361,49.95265468,-10.29729368,-19.57591895,17,5,6,5.591346154,2.165794954,12.01923077,208,17,9,14,4.918269231,2.165794954,21.63461538,208,1,19.42107035,58.70077415,21.03668798,0.841467519,16,15,24,10,21,4.727272727,2.42631476,21.05263158,209,15,16,15,12,17,19,13,16,15,15,184,CWF,50,1
20210113-1200-jeremmille,Sleepy_Hollow_Run,40.22676762,-75.93417063,2021,1,13,1.2,52.19454065,34.99567464,39.97071229,-4.975037645,-17.19886601,16,4,6,5.305263158,1.784606668,3.684210526,190,16,6,10,5.4,1.784606668,12.10526316,190,0,13.28828829,79.07657658,0.495495495,0.315315315,15,16,19,6,15,4.173684211,1.833681191,41.05263158,190,10,16,15,13,16,15,11,16,16,15,174,HQ-CWF,63,0
