STATIONID,Value ,Grouping
20210112-1120-tdaley,77.27915592,Regular_IBI
20210112-1240-tdaley,74.91674268,Regular_IBI
20210112-1245-jeremmille,79.62385638,Regular_IBI
20210112-1315-jeremmille,68.16405623,Regular_IBI
20210112-1345-jeremmille,55.44353568,Regular_IBI
20210112-1415-jeremmille,62.34672574,Regular_IBI
20210113-0900-jeremmille,44.1447451,Regular_IBI
20210113-1030-jeremmille,40.43184416,Regular_IBI
20210113-1130-tdaley,59.23127995,Regular_IBI
20210113-1200-jeremmille,52.19454065,Regular_IBI
20210113-1225-tdaley,42.46157822,Regular_IBI
20210113-1345-tdaley,79.89662358,Regular_IBI
20210120-1315-tdaley,44.3245404,Regular_IBI
20210120-1405-tdaley,63.19932657,Regular_IBI
20210125-1215-jeremmille,75.65045805,Regular_IBI
20210224-1045-tdaley,71.25364033,Regular_IBI
20210224-1245-jlorson,24.83296394,Regular_IBI
20210224-1300-jlorson,52.42723351,Regular_IBI
20210224-1410-tdaley,67.76587939,Regular_IBI
20210224-1450-tdaley,66.3573627,Regular_IBI
20210225-1104-mshank,96.70634793,Regular_IBI
20210225-1115-tdaley,68.05507705,Regular_IBI
20210225-1235-tdaley,94.24033379,Regular_IBI
20210225-1356-mshank,56.05141838,Regular_IBI
20210225-1520-mshank,69.19694446,Regular_IBI
20210301-0730-twertz,83.29511072,Regular_IBI
20210301-0939-twertz,75.43277931,Regular_IBI
20210303-0930-twertz,98.58820921,Regular_IBI
20210303-1040-tdaley,82.18652177,Regular_IBI
20210303-1245-drebuck,70.47811211,Regular_IBI
20210303-1355-tdaley,41.41388933,Regular_IBI
20210304-0935-drebuck,78.3705312,Regular_IBI
20210304-0955-tdaley,52.29738597,Regular_IBI
20210304-1015-jeremmille,78.71369942,Regular_IBI
20210304-1115-jeremmille,70.36602338,Regular_IBI
20210304-1240-drebuck,75.50320097,Regular_IBI
20210304-1315-tdaley,19.52603103,Regular_IBI
20210304-1430-drebuck,70.36343541,Regular_IBI
20210305-0950-drebuck,57.57790537,Regular_IBI
20210305-1230-drebuck,58.93250118,Regular_IBI
20210308-1125-drebuck,91.91426592,Regular_IBI
20210308-1410-drebuck,80.12042668,Regular_IBI
